match_id,half,time,scorer,assister
2026-04-16#1,1H,11:57,Bailey,
2026-04-16#1,1H,17:40,Gio,
2026-04-16#1,1H,17:57,Gio,
2026-04-16#1,1H,18:40,Austin,Jake
2026-04-16#1,1H,25:05,Bailey,
2026-04-16#1,2H,26:27,Gio,Lachlan
2026-04-16#1,2H,29:03,Bailey,Andres
2026-04-16#1,2H,30:09,Bailey,Ines
2026-04-16#1,2H,31:44,Austin,Gio
2026-04-16#1,2H,35:29,Bailey,
2026-04-16#1,2H,36:32,Bailey,James
2026-04-16#1,2H,38:00,Bailey,
2026-04-16#1,2H,39:53,Andres,
2026-04-16#1,2H,41:01,James,Andres
2026-04-16#1,2H,41:58,Bailey,
2026-04-16#1,2H,43:30,Gio,
2026-04-16#1,2H,45:03,Ines,
2026-04-16#1,2H,46:36,James,Andres
2026-04-16#1,2H,47:02,James,Bailey
2026-04-16#1,2H,47:53,Andres,
2026-04-16#1,2H,50:56,Ines,Bailey
2026-04-23#1,1H,03:39,Jake,
2026-04-23#1,1H,07:12,Jake,Lachlan
2026-04-23#1,1H,09:10,Andres,
2026-04-23#1,1H,09:43,Lach,Gio
2026-04-23#1,1H,09:58,Austin,
2026-04-23#1,1H,11:54,Ines,Austin
2026-04-23#1,1H,14:02,Andres,Austin
2026-04-23#1,1H,14:22,Andres,Richard
2026-04-23#1,1H,15:15,Rich,
2026-04-23#1,1H,15:37,Andres,
2026-04-23#1,1H,17:10,Bailey,
2026-04-23#1,1H,19:20,Austin,
2026-04-23#1,1H,21:24,Bailey,
2026-04-23#1,1H,22:30,Austin,
2026-04-23#1,1H,23:40,Bailey,Austin
2026-04-23#1,1H,24:12,Andres,Bailey
2026-04-23#1,1H,24:58,Austin,Bailey
2026-04-23#1,1H,26:04,Jake,
2026-04-23#1,2H,28:27,James,
2026-04-23#1,2H,33:38,Bailey,Andres
2026-04-23#1,2H,35:00,Jake,
2026-04-23#1,2H,36:29,Bailey,Austin
2026-04-23#1,2H,41:06,Bailey,
2026-04-23#1,2H,43:15,James,Gio
2026-04-23#1,2H,44:21,James,Jake
2026-04-23#1,2H,44:48,Gio,
2026-04-23#1,2H,45:29,Austin,Bailey
2026-04-23#1,2H,50:10,James,Gio
2026-04-23#1,2H,51:38,Lach,
2026-04-30#1,1H,02:58,Gio,
2026-04-30#1,1H,03:23,James2,
2026-04-30#1,1H,05:10,Jake,
2026-04-30#1,1H,06:13,Xavier,Bailey
2026-04-30#1,1H,08:50,Andres,Jake
2026-04-30#1,1H,09:48,Bailey,Amin
2026-04-30#1,1H,11:33,Gio,Andres
2026-04-30#1,1H,11:55,Xavier,Bailey
2026-04-30#1,1H,14:55,Andres,Gio
2026-04-30#1,1H,15:20,Xavier,Rich
2026-04-30#1,1H,18:05,Gio,James2
2026-04-30#1,1H,20:05,Bailey,Lach
